year,area,area_name,racecomp,ssh_dpa
2024,24,Maryland,Hispanic,-.1718778617316466
2024,24,Maryland,Asian,-.1117007715619324
2024,24,Maryland,Other,-.1326827389041813
2024,25,Massachusetts,Total,-.2505125062757126
2024,25,Massachusetts,White,-.2485248359029635
2024,25,Massachusetts,Black,-.3073904619732823
2024,25,Massachusetts,Hispanic,-.285401539498535
2024,25,Massachusetts,Asian,-.1975610784822003
2024,25,Massachusetts,Other,-.2655152286057862
2024,26,Michigan,Total,-.178414506511017
2024,26,Michigan,White,-.1750912118020502
2024,26,Michigan,Black,-.2022547450394336
2024,26,Michigan,Hispanic,-.2085186981509909
2024,26,Michigan,Asian,-.1330519575088034
2024,26,Michigan,Other,-.2030190025290158
2024,27,Minnesota,Total,-.2137609660115878
2024,27,Minnesota,White,-.212387421892789
2024,27,Minnesota,Black,-.2952387303848531
2024,27,Minnesota,Hispanic,-.2249448704934919
2024,27,Minnesota,Asian,-.1636892862768181
2024,27,Minnesota,Other,-.2082078033022735
2024,28,Mississippi,Total,-.0842842079080648
2024,28,Mississippi,White,-.0909558613431919
2024,28,Mississippi,Black,-.0692274284663246
2024,28,Mississippi,Hispanic,-.0941269995143141
2024,28,Mississippi,Asian,-.1454683046448371
2024,28,Mississippi,Other,-.0455244511637595
2024,29,Missouri,Total,-.1474546606452994
2024,29,Missouri,White,-.1492401845325974
2024,29,Missouri,Black,-.1538226586766638
2024,29,Missouri,Hispanic,-.1595961248094745
2024,29,Missouri,Asian,-.0613986005416038
2024,29,Missouri,Other,-.1351438957233121
2024,30,Montana,Total,-.2543645945540572
2024,30,Montana,White,-.2541305446234775
2024,30,Montana,Black,-.713881283230863
2024,30,Montana,Hispanic,-.3013009340683518
2024,30,Montana,Asian,-.1726072369169516
2024,30,Montana,Other,-.2268963311969307
2024,31,Nebraska,Total,-.193566888732598
2024,31,Nebraska,White,-.1939892153484963
2024,31,Nebraska,Black,-.0931408867100067
2024,31,Nebraska,Hispanic,-.2535428570924167
2024,31,Nebraska,Asian,-.1187004114864806
2024,31,Nebraska,Other,-.1781246796427777
2024,32,Nevada,Total,-.1433873842382375
2024,32,Nevada,White,-.130096731361017
2024,32,Nevada,Black,-.1771712757694188
2024,32,Nevada,Hispanic,-.1857539653824458
2024,32,Nevada,Asian,-.1482576798370532
2024,32,Nevada,Other,-.1108615512253133
2024,33,New Hampshire,Total,-.2401849058446399
2024,33,New Hampshire,White,-.2415993029239075
2024,33,New Hampshire,Black,-.0642842337400232
2024,33,New Hampshire,Hispanic,-.3292751737179294
2024,33,New Hampshire,Asian,-.211350610998927
2024,33,New Hampshire,Other,-.1719909450440807
2024,34,New Jersey,Total,-.2250851818037524
2024,34,New Jersey,White,-.2143550990223104
2024,34,New Jersey,Black,-.2736584184096409
2024,34,New Jersey,Hispanic,-.302291641668043
2024,34,New Jersey,Asian,-.1646556867429317
2024,34,New Jersey,Other,-.1837369942377171
2024,35,New Mexico,Total,-.1527092044441884
2024,35,New Mexico,White,-.1306788695446503
2024,35,New Mexico,Black,-.2522273431678963
2024,35,New Mexico,Hispanic,-.1727919205720662
2024,35,New Mexico,Asian,-.0829057924497307
2024,35,New Mexico,Other,-.1882099255338365
2024,36,New York,Total,-.2218617613379356
2024,36,New York,White,-.2178730574987554
2024,36,New York,Black,-.2206828569978462
2024,36,New York,Hispanic,-.2842748906095793
2024,36,New York,Asian,-.1817840863140299
2024,36,New York,Other,-.2089936381034522
2024,37,North Carolina,Total,-.1583234716777726
2024,37,North Carolina,White,-.1527097684890088
2024,37,North Carolina,Black,-.1900815840191143
2024,37,North Carolina,Hispanic,-.1773331785288481
2024,37,North Carolina,Asian,-.0937001391980294
2024,37,North Carolina,Other,-.1607134990947544
2024,38,North Dakota,Total,-.1433563849022015
2024,38,North Dakota,White,-.1417372346052729
2024,38,North Dakota,Black,-.218886143241183
2024,38,North Dakota,Hispanic,-.0338545861676358
2024,38,North Dakota,Asian,-.0733836797491016
2024,38,North Dakota,Other,-.2122783707450229
2024,39,Ohio,Total,-.1287841013489622
2024,39,Ohio,White,-.1299638648156533
2024,39,Ohio,Black,-.1402128584790945
2024,39,Ohio,Hispanic,-.1076609821266468
2024,39,Ohio,Asian,-.0938362952319992
2024,39,Ohio,Other,-.1125034187717366
2024,40,Oklahoma,Total,-.1672760633467403
2024,40,Oklahoma,White,-.1551432574947394
2024,40,Oklahoma,Black,-.221152823037645
2024,40,Oklahoma,Hispanic,-.2363827534421946
2024,40,Oklahoma,Asian,-.1695177788833861
2024,40,Oklahoma,Other,-.1711623306963934
2024,41,Oregon,Total,-.2737144751503393
2024,41,Oregon,White,-.2721395852661912
2024,41,Oregon,Black,-.1039562294683271
2024,41,Oregon,Hispanic,-.3466191850828612
2024,41,Oregon,Asian,-.1927675953047885
2024,41,Oregon,Other,-.2929023891685071
2024,42,Pennsylvania,Total,-.1675664346330998
2024,42,Pennsylvania,White,-.1661705514210078
2024,42,Pennsylvania,Black,-.1761475516434695
2024,42,Pennsylvania,Hispanic,-.2271735180017423
2024,42,Pennsylvania,Asian,-.0945257664082585
2024,42,Pennsylvania,Other,-.1736042232947579
2024,44,Rhode Island,Total,-.1849059498067002
2024,44,Rhode Island,White,-.1739212661376207
2024,44,Rhode Island,Black,-.4007018728003285
2024,44,Rhode Island,Hispanic,-.2676152620824422
2024,44,Rhode Island,Asian,-.1697052924857236
2024,44,Rhode Island,Other,-.0938967135962755
2024,45,South Carolina,Total,-.171024300697441
2024,45,South Carolina,White,-.1669777683775714
2024,45,South Carolina,Black,-.1792721873813306
2024,45,South Carolina,Hispanic,-.1945609266977449
2024,45,South Carolina,Asian,-.1609199226742194
2024,45,South Carolina,Other,-.1846658753002526
2024,46,South Dakota,Total,-.18195640761705
2024,46,South Dakota,White,-.1788910488734595
2024,46,South Dakota,Black,-.3820745032723253
2024,46,South Dakota,Hispanic,-.0648329182717562
2024,46,South Dakota,Asian,-.3570971574049311
2024,46,South Dakota,Other,-.1870943971586093
2024,47,Tennessee,Total,-.1387253794862573
2024,47,Tennessee,White,-.1354699682152123
2024,47,Tennessee,Black,-.1339948527028352
2024,47,Tennessee,Hispanic,-.2139352184089993
2024,47,Tennessee,Asian,-.1087366041385405
2024,47,Tennessee,Other,-.1598362311284814
2024,48,Texas,Total,-.0909131775734649
2024,48,Texas,White,-.080256473516309
2024,48,Texas,Black,-.095799561016169
2024,48,Texas,Hispanic,-.1167477167174694
2024,48,Texas,Asian,-.0707796662633548
2024,48,Texas,Other,-.0758925243142671
2024,99999,United States,Total,-.1727039444403182
2024,99999,United States,White,-.1678286884336325
2024,99999,United States,Black,-.161719717990372
2024,99999,United States,Hispanic,-.2172985866284516
2024,99999,United States,Asian,-.1623416592437354
2024,99999,United States,Other,-.1743088620357799
2024,49,Utah,Total,-.216597547921419
2024,49,Utah,White,-.2147532016459482
2024,49,Utah,Black,-.0480621163954381
2024,49,Utah,Hispanic,-.2541256651629236
2024,49,Utah,Asian,-.1587563766721922
2024,49,Utah,Other,-.2406847642940609
2024,50,Vermont,Total,-.2542750623706655
2024,50,Vermont,White,-.2550474892889648
