year,area,area_name,racecomp,xtype,hp
2024,10,Delaware,White,Share of struggling households,.57717943
2024,10,Delaware,White,Share of all households,.64929259
2024,10,Delaware,White,Difference (% pts.),-.072113156
2024,10,Delaware,Black,Share of struggling households,.24436761
2024,10,Delaware,Black,Share of all households,.19468068
2024,10,Delaware,Black,Difference (% pts.),.049686939
2024,10,Delaware,Hispanic,Share of struggling households,.10645743
2024,10,Delaware,Hispanic,Share of all households,.076209798
2024,10,Delaware,Hispanic,Difference (% pts.),.030247636
2024,10,Delaware,Asian,Share of struggling households,.034289796
2024,10,Delaware,Asian,Share of all households,.041345146
2024,10,Delaware,Asian,Difference (% pts.),-.0070553496
2024,10,Delaware,Other,Share of struggling households,.037705738
2024,10,Delaware,Other,Share of all households,.038471766
2024,10,Delaware,Other,Difference (% pts.),-.00076602772
2024,11,District of Columbia,White,Share of struggling households,.20637651
2024,11,District of Columbia,White,Share of all households,.4043324
2024,11,District of Columbia,White,Difference (% pts.),-.19795589
2024,11,District of Columbia,Black,Share of struggling households,.61208254
2024,11,District of Columbia,Black,Share of all households,.38736171
2024,11,District of Columbia,Black,Difference (% pts.),.22472084
2024,11,District of Columbia,Hispanic,Share of struggling households,.090655006
2024,11,District of Columbia,Hispanic,Share of all households,.098716021
2024,11,District of Columbia,Hispanic,Difference (% pts.),-.0080610141
2024,11,District of Columbia,Asian,Share of struggling households,.040697213
2024,11,District of Columbia,Asian,Share of all households,.057195701
2024,11,District of Columbia,Asian,Difference (% pts.),-.016498487
2024,11,District of Columbia,Other,Share of struggling households,.050188717
2024,11,District of Columbia,Other,Share of all households,.052394178
2024,11,District of Columbia,Other,Difference (% pts.),-.0022054613
2024,12,Florida,White,Share of struggling households,.49025676
2024,12,Florida,White,Share of all households,.57050353
2024,12,Florida,White,Difference (% pts.),-.080246776
2024,12,Florida,Black,Share of struggling households,.16371098
2024,12,Florida,Black,Share of all households,.12845698
2024,12,Florida,Black,Difference (% pts.),.035254002
2024,12,Florida,Hispanic,Share of struggling households,.28414792
2024,12,Florida,Hispanic,Share of all households,.23531164
2024,12,Florida,Hispanic,Difference (% pts.),.048836276
2024,12,Florida,Asian,Share of struggling households,.02283602
2024,12,Florida,Asian,Share of all households,.027013073
2024,12,Florida,Asian,Difference (% pts.),-.0041770525
2024,12,Florida,Other,Share of struggling households,.039048288
2024,12,Florida,Other,Share of all households,.038714729
2024,12,Florida,Other,Difference (% pts.),.00033355877
2024,13,Georgia,White,Share of struggling households,.45634705
2024,13,Georgia,White,Share of all households,.52680373
2024,13,Georgia,White,Difference (% pts.),-.070456684
2024,13,Georgia,Black,Share of struggling households,.35689175
2024,13,Georgia,Black,Share of all households,.30731815
2024,13,Georgia,Black,Difference (% pts.),.0495736
2024,13,Georgia,Hispanic,Share of struggling households,.10421929
2024,13,Georgia,Hispanic,Share of all households,.082069196
2024,13,Georgia,Hispanic,Difference (% pts.),.022150092
2024,13,Georgia,Asian,Share of struggling households,.04152355
2024,13,Georgia,Asian,Share of all households,.043720603
2024,13,Georgia,Asian,Difference (% pts.),-.0021970533
2024,13,Georgia,Other,Share of struggling households,.041018363
2024,13,Georgia,Other,Share of all households,.040088292
2024,13,Georgia,Other,Difference (% pts.),.00093007088
2024,15,Hawaii,White,Share of struggling households,.27654728
2024,15,Hawaii,White,Share of all households,.29949564
2024,15,Hawaii,White,Difference (% pts.),-.022948354
2024,15,Hawaii,Black,Share of struggling households,.01926115
2024,15,Hawaii,Black,Share of all households,.019135838
2024,15,Hawaii,Black,Difference (% pts.),.00012531132
2024,15,Hawaii,Hispanic,Share of struggling households,.089837112
2024,15,Hawaii,Hispanic,Share of all households,.076648563
2024,15,Hawaii,Hispanic,Difference (% pts.),.013188548
2024,15,Hawaii,Asian,Share of struggling households,.42074007
2024,15,Hawaii,Asian,Share of all households,.42255589
2024,15,Hawaii,Asian,Difference (% pts.),-.0018158257
2024,15,Hawaii,Other,Share of struggling households,.19361441
2024,15,Hawaii,Other,Share of all households,.18216407
2024,15,Hawaii,Other,Difference (% pts.),.011450335
2024,16,Idaho,White,Share of struggling households,.8050667
2024,16,Idaho,White,Share of all households,.82875896
2024,16,Idaho,White,Difference (% pts.),-.02369225
2024,16,Idaho,Black,Share of struggling households,.0053272187
2024,16,Idaho,Black,Share of all households,.0046031
2024,16,Idaho,Black,Difference (% pts.),.00072411867
2024,16,Idaho,Hispanic,Share of struggling households,.11443414
2024,16,Idaho,Hispanic,Share of all households,.099028185
2024,16,Idaho,Hispanic,Difference (% pts.),.015405953
2024,16,Idaho,Asian,Share of struggling households,.016491719
2024,16,Idaho,Asian,Share of all households,.015920145
2024,16,Idaho,Asian,Difference (% pts.),.00057157315
2024,16,Idaho,Other,Share of struggling households,.058680177
2024,16,Idaho,Other,Share of all households,.051689643
2024,16,Idaho,Other,Difference (% pts.),.0069905333
2024,17,Illinois,White,Share of struggling households,.55689311
2024,17,Illinois,White,Share of all households,.64149892
2024,17,Illinois,White,Difference (% pts.),-.084605813
2024,17,Illinois,Black,Share of struggling households,.1792088
2024,17,Illinois,Black,Share of all households,.13346437
2024,17,Illinois,Black,Difference (% pts.),.045744434
2024,17,Illinois,Hispanic,Share of struggling households,.17784421
2024,17,Illinois,Hispanic,Share of all households,.13388465
2024,17,Illinois,Hispanic,Difference (% pts.),.043959558
2024,17,Illinois,Asian,Share of struggling households,.053058449
2024,17,Illinois,Asian,Share of all households,.05743701
2024,17,Illinois,Asian,Difference (% pts.),-.0043785609
2024,17,Illinois,Other,Share of struggling households,.03299538
2024,17,Illinois,Other,Share of all households,.033715062
2024,17,Illinois,Other,Difference (% pts.),-.00071968138
2024,18,Indiana,White,Share of struggling households,.73900676
2024,18,Indiana,White,Share of all households,.78806901
2024,18,Indiana,White,Difference (% pts.),-.049062252
2024,18,Indiana,Black,Share of struggling households,.11517828
2024,18,Indiana,Black,Share of all households,.089405738
2024,18,Indiana,Black,Difference (% pts.),.025772542
2024,18,Indiana,Hispanic,Share of struggling households,.078773506
2024,18,Indiana,Hispanic,Share of all households,.062902234
2024,18,Indiana,Hispanic,Difference (% pts.),.015871271
2024,18,Indiana,Asian,Share of struggling households,.026217232
2024,18,Indiana,Asian,Share of all households,.023224307
2024,18,Indiana,Asian,Difference (% pts.),.0029929243
2024,18,Indiana,Other,Share of struggling households,.040824212
