area,countyname,racecomp,h_popp,h_sshp,difference
53001,"Adams County, WA",White,.77594012,.68392509,-.092015028
53001,"Adams County, WA",Asian,.023185598,.044219896,.021034298
53001,"Adams County, WA",Other,.071990266,.087883562,.015893295
53001,"Adams County, WA",Hispanic,.12424235,.17442292,.050180569
53001,"Adams County, WA",Black,.004641626,.0095485309,.0049069049
55001,"Adams County, WI",Black,.0082359882,.010373363,.0021373751
55001,"Adams County, WI",White,.91298676,.89995724,-.013029516
55001,"Adams County, WI",Other,.0287436,.040483315,.011739714
55001,"Adams County, WI",Hispanic,.031228123,.045883678,.014655555
55001,"Adams County, WI",Asian,.018805508,.0033023816,-.015503126
50001,"Addison County, VT",Black,.0070549021,.0043821209,-.0026727812
50001,"Addison County, VT",Hispanic,.008962133,.0066218716,-.0023402614
50001,"Addison County, VT",White,.95063418,.93899113,-.011643052
50001,"Addison County, VT",Asian,.0018331637,.00063297304,-.0012001906
50001,"Addison County, VT",Other,.031515602,.049371894,.017856292
45003,"Aiken County, SC",Asian,.0020973037,0,-.0020973037
45003,"Aiken County, SC",Hispanic,.056365043,.052176315,-.0041887276
45003,"Aiken County, SC",White,.69801587,.6566363,-.041379571
45003,"Aiken County, SC",Other,.031887297,.040152144,.0082648471
45003,"Aiken County, SC",Black,.21163452,.25103524,.039400727
27001,"Aitkin County, MN",Black,.0014587892,.0033193401,.0018605508
27001,"Aitkin County, MN",Other,.0535676,.07531973,.02175213
27001,"Aitkin County, MN",Asian,.015703436,.015766865,.000063428655
27001,"Aitkin County, MN",Hispanic,.010061355,.011812946,.0017515905
27001,"Aitkin County, MN",White,.91920882,.89378113,-.025427699
12001,"Alachua County, FL",Hispanic,.11993366,.14079705,.020863391
12001,"Alachua County, FL",Asian,.055050991,.047965433,-.007085558
12001,"Alachua County, FL",White,.60083246,.49695545,-.10387701
12001,"Alachua County, FL",Other,.087568074,.13204624,.044478163
12001,"Alachua County, FL",Black,.13661481,.18223584,.045621023
37001,"Alamance County, NC",Hispanic,.11277387,.16604884,.053274974
37001,"Alamance County, NC",Other,.047440734,.053453691,.0060129575
37001,"Alamance County, NC",White,.63286537,.55853307,-.074332297
37001,"Alamance County, NC",Black,.18556897,.20306177,.017492801
37001,"Alamance County, NC",Asian,.021351052,.01890263,-.0024484228
6001,"Alameda County, CA",Hispanic,.17595489,.23182754,.055872649
6001,"Alameda County, CA",Black,.11085258,.15519218,.044339605
6001,"Alameda County, CA",Other,.058884539,.053118046,-.0057664923
6001,"Alameda County, CA",Asian,.32179236,.30923757,-.012554795
6001,"Alameda County, CA",White,.33251563,.25062469,-.081890941
8003,"Alamosa County, CO",White,.54399109,.4117409,-.13225019
8003,"Alamosa County, CO",Black,.0016749639,0,-.0016749639
8003,"Alamosa County, CO",Other,.05615782,.069888666,.013730846
8003,"Alamosa County, CO",Hispanic,.3867771,.51285422,.12607712
8003,"Alamosa County, CO",Asian,.01139906,.0055161943,-.0058828662
36001,"Albany County, NY",White,.71886706,.59836239,-.12050468
36001,"Albany County, NY",Asian,.071118936,.087062903,.015943967
36001,"Albany County, NY",Black,.098709606,.1669396,.068229996
36001,"Albany County, NY",Hispanic,.064519607,.090338118,.025818512
36001,"Albany County, NY",Other,.046784803,.057296984,.010512181
56001,"Albany County, WY",Hispanic,.083094597,.15212484,.06903024
56001,"Albany County, WY",White,.84372389,.79175413,-.051969767
56001,"Albany County, WY",Black,.012323223,.011208365,-.0011148583
56001,"Albany County, WY",Other,.04651903,.04491267,-.0016063601
56001,"Albany County, WY",Asian,.014339199,0,-.014339199
51003,"Albemarle County, VA",Hispanic,.052898407,.068035379,.015136972
51003,"Albemarle County, VA",Other,.019156348,.018166471,-.00098987669
51003,"Albemarle County, VA",Black,.1057391,.16500615,.059267044
51003,"Albemarle County, VA",White,.78432089,.69931036,-.085010529
51003,"Albemarle County, VA",Asian,.037885208,.04948166,.011596452
26001,"Alcona County, MI",Asian,.0016586549,.0020232676,.00036461267
26001,"Alcona County, MI",White,.91642219,.9018715,-.014550686
26001,"Alcona County, MI",Hispanic,.016325464,.016028073,-.00029739179
26001,"Alcona County, MI",Other,.06559366,.080077134,.014483474
28003,"Alcorn County, MS",Other,.050560631,.034172177,-.016388454
28003,"Alcorn County, MS",Hispanic,.032565061,.028572394,-.0039926674
28003,"Alcorn County, MS",White,.73991209,.71383756,-.026074529
28003,"Alcorn County, MS",Black,.17492041,.21943733,.044516921
28003,"Alcorn County, MS",Asian,.0020418051,.0039805695,.0019387645
2013,"Aleutians East Borough, AK",Black,.0029794816,.0028834203,-.000096061267
2013,"Aleutians East Borough, AK",White,.33631283,.21655481,-.11975802
2013,"Aleutians East Borough, AK",Asian,.034617275,.02411136,-.010505915
2013,"Aleutians East Borough, AK",Other,.59257895,.72776538,.13518643
2013,"Aleutians East Borough, AK",Hispanic,.03351149,.028685061,-.0048264284
2016,"Aleutians West Census Area, AK",Other,.59257895,.71221888,.11963993
2016,"Aleutians West Census Area, AK",Asian,.034617275,.026320376,-.0082968995
2016,"Aleutians West Census Area, AK",White,.33631283,.22507407,-.11123876
2016,"Aleutians West Census Area, AK",Hispanic,.03351149,.032900471,-.00061101839
2016,"Aleutians West Census Area, AK",Black,.0029794816,.0034861425,.0005066609
17003,"Alexander County, IL",Other,.036476575,.041112646,.0046360716
17003,"Alexander County, IL",White,.91208851,.90266329,-.0094252229
17003,"Alexander County, IL",Hispanic,.0056504826,.0084434804,.0027929978
17003,"Alexander County, IL",Black,.041333668,.039850071,-.0014835969
17003,"Alexander County, IL",Asian,.0044507226,.0079305582,.0034798356
37003,"Alexander County, NC",Asian,.0054400335,.0089351619,.0034951284
37003,"Alexander County, NC",Other,.031758033,.043976534,.012218501
37003,"Alexander County, NC",Black,.036189876,.0501923,.014002424
37003,"Alexander County, NC",White,.8680529,.82168525,-.046367645
37003,"Alexander County, NC",Hispanic,.058559123,.07521075,.016651627
51510,"Alexandria city, VA",White,.52603835,.28059369,-.24544466
51510,"Alexandria city, VA",Other,.045459162,.02357278,-.021886382
51510,"Alexandria city, VA",Black,.20613489,.31022942,.10409454
51510,"Alexandria city, VA",Asian,.065172106,.10927875,.044106647
51510,"Alexandria city, VA",Hispanic,.15719548,.27632537,.1191299
40003,"Alfalfa County, OK",Hispanic,.15600689,.16153176,.0055248737
40003,"Alfalfa County, OK",Black,.011051599,.023376225,.012324626
40003,"Alfalfa County, OK",White,.76103348,.74183625,-.019197226
40003,"Alfalfa County, OK",Asian,.00055742712,.0011790639,.00062163681
40003,"Alfalfa County, OK",Other,.071350671,.072076693,.00072602183
26003,"Alger County, MI",Asian,.0012994562,.0025281084,.0012286522
26003,"Alger County, MI",Hispanic,.015422494,.027676135,.012253641
26003,"Alger County, MI",White,.84090209,.82795554,-.012946546
26003,"Alger County, MI",Other,.14237595,.14184019,-.00053575635
19005,"Allamakee County, IA",Black,.0070458599,.010111396,.0030655363
19005,"Allamakee County, IA",White,.9481802,.91522419,-.032956004
19005,"Allamakee County, IA",Hispanic,.016631506,.033533275,.016901769
19005,"Allamakee County, IA",Asian,.0046699303,0,-.0046699303
19005,"Allamakee County, IA",Other,.023472544,.041131102,.017658558
26005,"Allegan County, MI",Black,.0049286755,.0066309613,.0017022858
26005,"Allegan County, MI",White,.8771522,.86044377,-.016708434
26005,"Allegan County, MI",Asian,.0036259417,.0085182348,.0048922934
26005,"Allegan County, MI",Other,.06077252,.057026267,-.0037462525
26005,"Allegan County, MI",Hispanic,.053520638,.067380771,.013860133
24001,"Allegany County, MD",Hispanic,.010585945,.011612903,.0010269582
24001,"Allegany County, MD",Black,.014850943,.014076247,-.00077469647
24001,"Allegany County, MD",White,.92981344,.89413494,-.035678506
24001,"Allegany County, MD",Other,.0355854,.080175959,.044590559
24001,"Allegany County, MD",Asian,.0091642793,0,-.0091642793
36003,"Allegany County, NY",Asian,.009396675,.0013517812,-.0080448939
36003,"Allegany County, NY",Black,.0036230481,.0074347965,.0038117485
36003,"Allegany County, NY",Hispanic,.015654666,.021032125,.0053774584
36003,"Allegany County, NY",Other,.034138024,.046318382,.012180358
36003,"Allegany County, NY",White,.93718755,.92386287,-.013324678
37005,"Alleghany County, NC",Asian,.0054166079,.010892902,.0054762936
37005,"Alleghany County, NC",Black,.040475406,.041550897,.0010754913
37005,"Alleghany County, NC",White,.85012484,.79114044,-.058984399
37005,"Alleghany County, NC",Other,.0094986893,.01105077,.0015520807
37005,"Alleghany County, NC",Hispanic,.094484478,.14536498,.050880507
51005,"Alleghany County, VA",Other,.026622867,.020012671,-.0066101961
51005,"Alleghany County, VA",White,.86396837,.83024633,-.033722043
51005,"Alleghany County, VA",Black,.065377221,.10818768,.042810455
51005,"Alleghany County, VA",Hispanic,.030334653,.029776767,-.00055788644
51005,"Alleghany County, VA",Asian,.013696843,.011776544,-.0019202987
42003,"Allegheny County, PA",Asian,.037197355,.034162097,-.0030352585
42003,"Allegheny County, PA",Black,.11385007,.18091477,.067064703
42003,"Allegheny County, PA",Hispanic,.022010487,.02294782,.00093733333
42003,"Allegheny County, PA",Other,.035271898,.045061953,.0097900555
42003,"Allegheny County, PA",White,.7916702,.71691334,-.074756861
18003,"Allen County, IN",Other,.036067985,.039255224,.0031872392
18003,"Allen County, IN",Asian,.037907865,.050794818,.012886953
18003,"Allen County, IN",Black,.11483387,.16118634,.046352468
18003,"Allen County, IN",Hispanic,.060995184,.08367677,.022681586
18003,"Allen County, IN",White,.75019509,.66508687,-.085108221
20001,"Allen County, KS",Hispanic,.025929743,.035022385,.009092642
20001,"Allen County, KS",Black,.016509397,.019410903,.0029015057
20001,"Allen County, KS",White,.89375943,.85870671,-.035052717
20001,"Allen County, KS",Asian,.00084053603,.0019937556,.0011532195
20001,"Allen County, KS",Other,.062960908,.08486627,.021905363
21003,"Allen County, KY",Other,.035671804,.04893554,.013263736
21003,"Allen County, KY",Asian,.00221112,0,-.00221112
21003,"Allen County, KY",White,.89567155,.88359892,-.012072623
21003,"Allen County, KY",Hispanic,.032467078,.038574945,.0061078668
21003,"Allen County, KY",Black,.033978477,.028890634,-.0050878432
39003,"Allen County, OH",White,.80463791,.75169337,-.052944541
39003,"Allen County, OH",Black,.084948376,.13613084,.051182464
39003,"Allen County, OH",Hispanic,.027166231,.014758522,-.012407709
39003,"Allen County, OH",Other,.074120209,.097417258,.023297049
39003,"Allen County, OH",Asian,.0091272788,0,-.0091272788
22003,"Allen Parish, LA",Black,.09644825,.14341068,.046962433
22003,"Allen Parish, LA",Asian,.005940523,.010028719,.004088196
22003,"Allen Parish, LA",White,.83163732,.79076451,-.040872812
22003,"Allen Parish, LA",Hispanic,.022882679,.01280941,-.01007327
22003,"Allen Parish, LA",Other,.043091226,.042986736,-.00010449067
45005,"Allendale County, SC",Other,.036622189,.04442285,.007800661
45005,"Allendale County, SC",Asian,.013760281,.0098910257,-.0038692551
45005,"Allendale County, SC",White,.55058378,.40386617,-.14671761
45005,"Allendale County, SC",Black,.36472651,.49337128,.12864476
45005,"Allendale County, SC",Hispanic,.034307238,.048448671,.014141433
26007,"Alpena County, MI",Asian,.0016586549,.0021467865,.00048813166
26007,"Alpena County, MI",White,.91642219,.90309268,-.013329506
26007,"Alpena County, MI",Other,.06559366,.080236144,.014642484
26007,"Alpena County, MI",Hispanic,.016325464,.014524353,-.0018011117
6003,"Alpine County, CA",Black,.0017128213,.0022826432,.00056982192
6003,"Alpine County, CA",White,.79805702,.75182754,-.046229482
6003,"Alpine County, CA",Asian,.0094662793,.0075124972,-.001953782
6003,"Alpine County, CA",Hispanic,.12180644,.16163425,.039827816
6003,"Alpine County, CA",Other,.068957403,.076743044,.0077856407
6005,"Amador County, CA",White,.79805708,.76688749,-.031169593
6005,"Amador County, CA",Asian,.0094662793,.0042637633,-.005202516
6005,"Amador County, CA",Other,.068957403,.07261806,.0036606565
6005,"Amador County, CA",Hispanic,.12180644,.15411225,.032305807
6005,"Amador County, CA",Black,.0017128213,.0021184736,.00040565233
51007,"Amelia County, VA",White,.60482007,.54864419,-.056175888
51007,"Amelia County, VA",Black,.33442652,.38080797,.046381444
51007,"Amelia County, VA",Other,.030314723,.035218596,.0049038734
51007,"Amelia County, VA",Asian,.0052637383,.0034532375,-.0018105009
51007,"Amelia County, VA",Hispanic,.025175,.031876039,.0067010392
51009,"Amherst County, VA",White,.81775123,.78632158,-.031429648
51009,"Amherst County, VA",Asian,.019932872,.025462965,.0055300929
51009,"Amherst County, VA",Hispanic,.022058548,.027819866,.0057613179
51009,"Amherst County, VA",Black,.10091367,.11553031,.014616646
51009,"Amherst County, VA",Other,.039343648,.044865321,.0055216737
28005,"Amite County, MS",Black,.47231311,.61084896,.13853586
28005,"Amite County, MS",Asian,.005169061,.0049958364,-.0001732246
28005,"Amite County, MS",Other,.02186181,.034261573,.012399763
28005,"Amite County, MS",Hispanic,.012898942,.012612945,-.00028599612
28005,"Amite County, MS",White,.48775706,.33728066,-.1504764
2020,"Anchorage Municipality, AK",Other,.14578964,.20102976,.055240124
2020,"Anchorage Municipality, AK",Hispanic,.082292914,.098663114,.0163702
2020,"Anchorage Municipality, AK",Asian,.087349206,.10299896,.015649758
2020,"Anchorage Municipality, AK",Black,.041769333,.070864007,.029094674
2020,"Anchorage Municipality, AK",White,.6427989,.52644414,-.11635476
20003,"Anderson County, KS",White,.89375937,.86233693,-.031422436
20003,"Anderson County, KS",Black,.016509395,.01958753,.0030781347
20003,"Anderson County, KS",Other,.062960908,.082461879,.019500971
20003,"Anderson County, KS",Hispanic,.025929743,.033897758,.0079680141
20003,"Anderson County, KS",Asian,.00084053603,.0017159324,.00087539636
21005,"Anderson County, KY",White,.87463367,.82690001,-.047733665
21005,"Anderson County, KY",Hispanic,.030396875,.031952307,.0015554316
21005,"Anderson County, KY",Other,.027982084,.018356495,-.0096255895
21005,"Anderson County, KY",Asian,.0041475422,.0026162292,-.0015313129
21005,"Anderson County, KY",Black,.062839873,.12017499,.057335116
45007,"Anderson County, SC",Other,.037561387,.039556984,.001995597
45007,"Anderson County, SC",Black,.16513243,.21443211,.049299672
45007,"Anderson County, SC",Asian,.0084845023,0,-.0084845023
45007,"Anderson County, SC",Hispanic,.03959005,.039620552,.000030502677
45007,"Anderson County, SC",White,.74923164,.70639032,-.042841315
47001,"Anderson County, TN",Other,.065559871,.063135095,-.0024247766
47001,"Anderson County, TN",White,.88162845,.88700277,.0053743124
47001,"Anderson County, TN",Asian,.0048403013,0,-.0048403013
47001,"Anderson County, TN",Black,.018420892,.032611266,.014190374
47001,"Anderson County, TN",Hispanic,.0295505,.017250886,-.012299614
48001,"Anderson County, TX",Black,.07394743,.085105479,.011158049
48001,"Anderson County, TX",Other,.049591195,.044499595,-.0050916001
48001,"Anderson County, TX",White,.7385,.68507981,-.053420186
48001,"Anderson County, TX",Asian,.0022541452,.0050489926,.0027948474
48001,"Anderson County, TX",Hispanic,.13570718,.18026614,.044558957
29003,"Andrew County, MO",Hispanic,.049732748,.060498223,.010765474
29003,"Andrew County, MO",Asian,.0089240065,.0031577365,-.0057662698
29003,"Andrew County, MO",White,.85935396,.84081,-.018543959
29003,"Andrew County, MO",Other,.038856614,.04566187,.006805256
29003,"Andrew County, MO",Black,.0431327,.049872186,.006739486
48003,"Andrews County, TX",Hispanic,.53636235,.70462781,.16826546
48003,"Andrews County, TX",White,.39133891,.27107468,-.12026423
48003,"Andrews County, TX",Other,.048473664,.0082575893,-.040216073
48003,"Andrews County, TX",Black,.0058213831,.012178459,.0063570761
48003,"Andrews County, TX",Asian,.018003693,.0038614627,-.01414223
23001,"Androscoggin County, ME",Black,.046838813,.057693277,.010854464
23001,"Androscoggin County, ME",Hispanic,.029263435,.034595795,.00533236
23001,"Androscoggin County, ME",White,.89208025,.87755311,-.014527142
23001,"Androscoggin County, ME",Asian,.0011255167,0,-.0011255167
23001,"Androscoggin County, ME",Other,.030691976,.030157849,-.00053412654
48005,"Angelina County, TX",Black,.17001729,.23303793,.063020647
48005,"Angelina County, TX",Asian,.0089078303,.013418966,.0045111356
48005,"Angelina County, TX",Hispanic,.15291774,.1786086,.025690854
48005,"Angelina County, TX",Other,.043718234,.043486062,-.00023217127
48005,"Angelina County, TX",White,.62443888,.53144848,-.092990398
24003,"Anne Arundel County, MD",Black,.18053228,.20228685,.021754578
24003,"Anne Arundel County, MD",White,.65655035,.58271748,-.07383287
24003,"Anne Arundel County, MD",Asian,.037339225,.054070614,.016731389
24003,"Anne Arundel County, MD",Other,.042165291,.052330356,.010165066
24003,"Anne Arundel County, MD",Hispanic,.083412856,.10859468,.025181822
27003,"Anoka County, MN",White,.80526572,.76308316,-.042182565
27003,"Anoka County, MN",Other,.035255313,.048216745,.012961432
27003,"Anoka County, MN",Hispanic,.03789109,.062690273,.024799183
27003,"Anoka County, MN",Black,.076495729,.097760089,.021264359
27003,"Anoka County, MN",Asian,.045092143,.028249741,-.016842403
37007,"Anson County, NC",Black,.20159499,.25468531,.053090319
37007,"Anson County, NC",White,.67436141,.54056984,-.13379157
37007,"Anson County, NC",Hispanic,.091022737,.1717582,.080735467
37007,"Anson County, NC",Asian,.0065308758,.012241361,.0057104849
37007,"Anson County, NC",Other,.026489923,.020745315,-.0057446081
31003,"Antelope County, NE",Hispanic,.12389452,.15072128,.026826762
31003,"Antelope County, NE",White,.8051526,.77418625,-.030966341
31003,"Antelope County, NE",Black,.0062149484,0,-.0062149484
31003,"Antelope County, NE",Other,.057309642,.061287861,.0039782189
31003,"Antelope County, NE",Asian,.0074282787,.01380459,.0063763116
26009,"Antrim County, MI",Black,.00098431064,0,-.00098431064
26009,"Antrim County, MI",Asian,.0012080176,0,-.0012080176
26009,"Antrim County, MI",Other,.059282344,.05717041,-.0021119341
26009,"Antrim County, MI",Hispanic,.021803971,.021800524,-3.4477562e-06
26009,"Antrim County, MI",White,.91672134,.92102909,.0043077469
4001,"Apache County, AZ",Hispanic,.067388892,.067792244,.00040335208
4001,"Apache County, AZ",Black,.001679714,.0010037576,-.00067595637
4001,"Apache County, AZ",Other,.51795292,.60928088,.091327965
4001,"Apache County, AZ",White,.40813968,.31795955,-.090180129
4001,"Apache County, AZ",Asian,.0048388089,.0039635561,-.00087525276
19007,"Appanoose County, IA",Asian,.011692194,.01345138,.0017591855
19007,"Appanoose County, IA",Other,.031370301,.031745255,.00037495419
19007,"Appanoose County, IA",Hispanic,.021316241,.028272355,.0069561135
19007,"Appanoose County, IA",White,.93562126,.92653102,-.0090902448
13001,"Appling County, GA",White,.67297471,.60057038,-.072404325
13001,"Appling County, GA",Black,.21325041,.24515016,.03189975
13001,"Appling County, GA",Asian,.0082571413,.0047530192,-.0035041221
13001,"Appling County, GA",Other,.027500177,.038904343,.011404166
13001,"Appling County, GA",Hispanic,.078017578,.11062212,.032604545
51011,"Appomattox County, VA",Other,.039343651,.045039717,.0056960657
51011,"Appomattox County, VA",Hispanic,.022058548,.027928004,.0058694556
51011,"Appomattox County, VA",Asian,.019932872,.02556194,.0056290682
51011,"Appomattox County, VA",Black,.10091367,.11597938,.015065715
51011,"Appomattox County, VA",White,.81775123,.78549099,-.032260239
48007,"Aransas County, TX",Hispanic,.46609309,.55123138,.085138291
48007,"Aransas County, TX",Asian,.023465,.025860237,.0023952369
48007,"Aransas County, TX",Black,.043918654,.048743144,.0048244894
48007,"Aransas County, TX",Other,.024012515,.026328104,.0023155883
48007,"Aransas County, TX",White,.44251078,.34783721,-.094673574
8005,"Arapahoe County, CO",White,.614797,.54328787,-.071509123
8005,"Arapahoe County, CO",Hispanic,.17460433,.21279146,.038187131
8005,"Arapahoe County, CO",Other,.055751953,.05630685,.00055489689
8005,"Arapahoe County, CO",Asian,.062870651,.069141492,.0062708408
8005,"Arapahoe County, CO",Black,.091976061,.11847235,.026496284
48009,"Archer County, TX",Black,.016172249,.019675035,.0035027862
48009,"Archer County, TX",Asian,.0076874001,.015478207,.0077908067
48009,"Archer County, TX",Other,.028405104,.032188509,.0037834048
48009,"Archer County, TX",Hispanic,.11550239,.1256738,.010171406
48009,"Archer County, TX",White,.83223289,.80698442,-.025248468
8007,"Archuleta County, CO",Other,.093352906,.11628008,.022927172
8007,"Archuleta County, CO",Hispanic,.086903326,.099861003,.012957677
8007,"Archuleta County, CO",White,.81117928,.77386844,-.037310839
8007,"Archuleta County, CO",Asian,.0085644871,.0099904435,.0014259564
26011,"Arenac County, MI",Black,.0011255675,.0025481556,.0014225881
26011,"Arenac County, MI",Asian,.0023274447,0,-.0023274447
26011,"Arenac County, MI",Hispanic,.017761074,.019780599,.0020195246
26011,"Arenac County, MI",Other,.043382045,.05174052,.0083584748
26011,"Arenac County, MI",White,.93540388,.92593074,-.009473145
5001,"Arkansas County, AR",Hispanic,.037899699,.031892505,-.0060071945
5001,"Arkansas County, AR",Black,.41319624,.50943822,.096241981
5001,"Arkansas County, AR",Other,.032289349,.018067023,-.014222326
5001,"Arkansas County, AR",White,.51661468,.44060221,-.076012462
51013,"Arlington County, VA",Asian,.095262572,.13488327,.039620697
51013,"Arlington County, VA",Hispanic,.1269754,.24229331,.11531791
51013,"Arlington County, VA",Other,.04320851,.041919257,-.0012892522
51013,"Arlington County, VA",White,.62315977,.40903521,-.21412456
51013,"Arlington County, VA",Black,.11139375,.17186895,.0604752
42005,"Armstrong County, PA",Hispanic,.011412739,.011897658,.00048491918
42005,"Armstrong County, PA",Black,.015519346,.033044904,.017525557
42005,"Armstrong County, PA",Asian,.0076194876,.0046247947,-.0029946929
42005,"Armstrong County, PA",Other,.017003661,.018648366,.0016447045
42005,"Armstrong County, PA",White,.94844478,.93178427,-.016660511
48011,"Armstrong County, TX",White,.56437242,.48905456,-.07531786
48011,"Armstrong County, TX",Other,.04345753,.032677665,-.010779865
48011,"Armstrong County, TX",Hispanic,.36022231,.45352158,.09329927
48011,"Armstrong County, TX",Asian,.0070045055,.0052347714,-.0017697341
48011,"Armstrong County, TX",Black,.024943274,.019511422,-.0054318514
23003,"Aroostook County, ME",White,.92793041,.91345608,-.014474332
23003,"Aroostook County, ME",Other,.054342419,.065406859,.01106444
23003,"Aroostook County, ME",Asian,.0013820553,0,-.0013820553
23003,"Aroostook County, ME",Hispanic,.014576077,.021137087,.0065610092
23003,"Aroostook County, ME",Black,.0017690309,0,-.0017690309
