year,area,area_name,racecomp,xtype,hp
2024,8,Colorado,Hispanic,Share of struggling households who are eligible for baby bonds (CT Model),.031573139
2024,8,Colorado,Hispanic,Share of struggling households who are eligible for baby bonds (DC Model),.71336567
2024,8,Colorado,Asian,Share of struggling households who are eligible for baby bonds (CT Model),.011583718
2024,8,Colorado,Asian,Share of struggling households who are eligible for baby bonds (DC Model),.62845427
2024,8,Colorado,Other,Share of struggling households who are eligible for baby bonds (CT Model),.019767698
2024,8,Colorado,Other,Share of struggling households who are eligible for baby bonds (DC Model),.674573
2024,9,Connecticut,Total,Share of struggling households who are eligible for baby bonds (CT Model),.027625186
2024,9,Connecticut,Total,Share of struggling households who are eligible for baby bonds (DC Model),.65645707
2024,9,Connecticut,White,Share of struggling households who are eligible for baby bonds (CT Model),.016849032
2024,9,Connecticut,White,Share of struggling households who are eligible for baby bonds (DC Model),.59787297
2024,9,Connecticut,Black,Share of struggling households who are eligible for baby bonds (CT Model),.0501027
2024,9,Connecticut,Black,Share of struggling households who are eligible for baby bonds (DC Model),.73839736
2024,9,Connecticut,Hispanic,Share of struggling households who are eligible for baby bonds (CT Model),.039579321
2024,9,Connecticut,Hispanic,Share of struggling households who are eligible for baby bonds (DC Model),.76638079
2024,9,Connecticut,Asian,Share of struggling households who are eligible for baby bonds (CT Model),.032245532
2024,9,Connecticut,Asian,Share of struggling households who are eligible for baby bonds (DC Model),.58762842
2024,9,Connecticut,Other,Share of struggling households who are eligible for baby bonds (CT Model),.039609067
2024,9,Connecticut,Other,Share of struggling households who are eligible for baby bonds (DC Model),.6949017
2024,10,Delaware,Total,Share of struggling households who are eligible for baby bonds (CT Model),.019880259
2024,10,Delaware,Total,Share of struggling households who are eligible for baby bonds (DC Model),.61233497
2024,10,Delaware,White,Share of struggling households who are eligible for baby bonds (CT Model),.0034516098
2024,10,Delaware,White,Share of struggling households who are eligible for baby bonds (DC Model),.58137935
2024,10,Delaware,Black,Share of struggling households who are eligible for baby bonds (CT Model),.034551933
2024,10,Delaware,Black,Share of struggling households who are eligible for baby bonds (DC Model),.62545615
2024,10,Delaware,Hispanic,Share of struggling households who are eligible for baby bonds (CT Model),.024396218
2024,10,Delaware,Hispanic,Share of struggling households who are eligible for baby bonds (DC Model),.71317297
2024,10,Delaware,Asian,Share of struggling households who are eligible for baby bonds (CT Model),.056882128
2024,10,Delaware,Asian,Share of struggling households who are eligible for baby bonds (DC Model),.58676803
2024,10,Delaware,Other,Share of struggling households who are eligible for baby bonds (CT Model),.12987553
2024,10,Delaware,Other,Share of struggling households who are eligible for baby bonds (DC Model),.73969573
2024,11,District of Columbia,Total,Share of struggling households who are eligible for baby bonds (CT Model),.050817765
2024,11,District of Columbia,Total,Share of struggling households who are eligible for baby bonds (DC Model),.7068224
2024,11,District of Columbia,White,Share of struggling households who are eligible for baby bonds (CT Model),0
2024,11,District of Columbia,White,Share of struggling households who are eligible for baby bonds (DC Model),.46492785
2024,11,District of Columbia,Black,Share of struggling households who are eligible for baby bonds (CT Model),.065501049
2024,11,District of Columbia,Black,Share of struggling households who are eligible for baby bonds (DC Model),.79093003
2024,11,District of Columbia,Hispanic,Share of struggling households who are eligible for baby bonds (CT Model),.020114185
2024,11,District of Columbia,Hispanic,Share of struggling households who are eligible for baby bonds (DC Model),.67351776
2024,11,District of Columbia,Asian,Share of struggling households who are eligible for baby bonds (CT Model),.073371157
2024,11,District of Columbia,Asian,Share of struggling households who are eligible for baby bonds (DC Model),.58462143
2024,11,District of Columbia,Other,Share of struggling households who are eligible for baby bonds (CT Model),.11788037
2024,11,District of Columbia,Other,Share of struggling households who are eligible for baby bonds (DC Model),.8349992
2024,12,Florida,Total,Share of struggling households who are eligible for baby bonds (CT Model),.017785136
2024,12,Florida,Total,Share of struggling households who are eligible for baby bonds (DC Model),.73976654
2024,12,Florida,White,Share of struggling households who are eligible for baby bonds (CT Model),.010278946
2024,12,Florida,White,Share of struggling households who are eligible for baby bonds (DC Model),.70893818
2024,12,Florida,Black,Share of struggling households who are eligible for baby bonds (CT Model),.030060086
2024,12,Florida,Black,Share of struggling households who are eligible for baby bonds (DC Model),.78568989
2024,12,Florida,Hispanic,Share of struggling households who are eligible for baby bonds (CT Model),.023197334
2024,12,Florida,Hispanic,Share of struggling households who are eligible for baby bonds (DC Model),.77538544
2024,12,Florida,Asian,Share of struggling households who are eligible for baby bonds (CT Model),.034303576
2024,12,Florida,Asian,Share of struggling households who are eligible for baby bonds (DC Model),.69666082
2024,12,Florida,Other,Share of struggling households who are eligible for baby bonds (CT Model),.011519424
2024,12,Florida,Other,Share of struggling households who are eligible for baby bonds (DC Model),.70030284
2024,13,Georgia,Total,Share of struggling households who are eligible for baby bonds (CT Model),.019419545
2024,13,Georgia,Total,Share of struggling households who are eligible for baby bonds (DC Model),.66694522
2024,13,Georgia,White,Share of struggling households who are eligible for baby bonds (CT Model),.010698021
2024,13,Georgia,White,Share of struggling households who are eligible for baby bonds (DC Model),.61445689
2024,13,Georgia,Black,Share of struggling households who are eligible for baby bonds (CT Model),.02791822
2024,13,Georgia,Black,Share of struggling households who are eligible for baby bonds (DC Model),.72047353
2024,13,Georgia,Hispanic,Share of struggling households who are eligible for baby bonds (CT Model),.022686059
2024,13,Georgia,Hispanic,Share of struggling households who are eligible for baby bonds (DC Model),.76211619
2024,13,Georgia,Asian,Share of struggling households who are eligible for baby bonds (CT Model),.020636149
2024,13,Georgia,Asian,Share of struggling households who are eligible for baby bonds (DC Model),.56478542
2024,13,Georgia,Other,Share of struggling households who are eligible for baby bonds (CT Model),.032974038
2024,13,Georgia,Other,Share of struggling households who are eligible for baby bonds (DC Model),.64677101
2024,15,Hawaii,Total,Share of struggling households who are eligible for baby bonds (CT Model),.016196596
2024,15,Hawaii,Total,Share of struggling households who are eligible for baby bonds (DC Model),.59312528
2024,15,Hawaii,White,Share of struggling households who are eligible for baby bonds (CT Model),.009387563
